GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Community Compass Java Service,com.compasschat.common.enums,PresenceStatus,44,0,0,0,5,0,1,0,1,0
Community Compass Java Service,com.compasschat.common.enums,ReminderType,44,0,0,0,5,0,1,0,1,0
Community Compass Java Service,com.compasschat.common.enums,Role,0,74,0,0,0,8,0,1,0,1
Community Compass Java Service,com.compasschat.common.enums,AuditAction,34,0,0,0,4,0,1,0,1,0
Community Compass Java Service,com.compasschat.common.enums,ChannelType,0,44,0,0,0,5,0,1,0,1
Community Compass Java Service,com.compasschat.channel,ChannelService,444,0,52,0,88,0,48,0,21,0
Community Compass Java Service,com.compasschat.channel,ChannelMember,71,0,0,0,21,0,14,0,14,0
Community Compass Java Service,com.compasschat.channel,MemberRole,34,0,0,0,4,0,1,0,1,0
Community Compass Java Service,com.compasschat.channel,Channel,29,36,0,0,6,13,6,7,6,7
Community Compass Java Service,com.compasschat.channel,NotificationPreference,34,0,0,0,4,0,1,0,1,0
Community Compass Java Service,com.compasschat.channel,ChannelController,149,53,2,2,28,14,13,4,11,4
Community Compass Java Service,com.compasschat.websocket.dto,OutgoingChatMessage,18,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.websocket.dto,TypingIndicator,15,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.websocket.dto,IncomingChatMessage,6,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.websocket.dto,PresenceUpdate,15,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.reminder,ReminderService,3,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.reminder,Reminder,3,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.reminder,ReminderController,3,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.reminder,ReminderRepository,3,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.auth.security,JwtAuthFilter,27,30,3,3,6,9,3,2,0,2
Community Compass Java Service,com.compasschat.auth.security,SecurityConfig,74,0,0,0,15,0,8,0,8,0
Community Compass Java Service,com.compasschat.auth.security,JwtService,83,0,0,0,25,0,7,0,7,0
Community Compass Java Service,com.compasschat.ai.integration,KindConnectClient,121,0,8,0,25,0,8,0,4,0
Community Compass Java Service,com.compasschat.ai.integration,CivicContextClient,33,0,4,0,16,0,4,0,2,0
Community Compass Java Service,com.compasschat.ai.integration,AiResourceRecommendationClient,132,0,12,0,46,0,14,0,7,0
Community Compass Java Service,com.compasschat.ai.integration,YouthPathwayClient,124,0,8,0,25,0,8,0,4,0
Community Compass Java Service,com.compasschat.ai.integration,FirstStepClient,16,0,0,0,8,0,2,0,2,0
Community Compass Java Service,com.compasschat.ai.integration,HousingContextClient,119,0,8,0,24,0,8,0,4,0
Community Compass Java Service,com.compasschat.common.utils,DateUtil,92,0,14,0,19,0,16,0,9,0
Community Compass Java Service,com.compasschat.ai.dto,ChatResponse,12,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.ai.dto,ChatRequest,6,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.ai.context,IntentType,94,0,0,0,10,0,1,0,1,0
Community Compass Java Service,com.compasschat.ai.context,AIContextBuilder,212,0,19,0,48,0,16,0,3,0
Community Compass Java Service,com.compasschat.ai.context,EscalationDecision,27,0,0,0,4,0,4,0,4,0
Community Compass Java Service,com.compasschat.ai.context,ContextSource,74,0,0,0,8,0,1,0,1,0
